# TIME,RAW [-],PERMITTIVITY [-]
1738141200.000,23.111,3.528
1738142100.000,27.428,11.842
1738143000.000,8.576,10.501
1738143900.000,9.024,6.984
1738144800.000,35.908,13.978
1738145700.000,35.375,11.754
1738146600.000,6.762,24.532
1738147500.000,19.971,4.277
1738148400.000,40.205,7.604
1738149300.000,16.665,6.842
1738150200.000,23.374,5.091
1738151100.000,13.184,5.752
1738152000.000,21.444,28.227
1738152900.000,22.132,16.866
1738153800.000,38.736,10.657
1738154700.000,27.770,4.431
1738155600.000,17.684,43.676
1738156500.000,22.191,4.771
1738157400.000,12.272,6.675
1738158300.000,4.550,22.224
1738159200.000,13.185,0.000
1738160100.000,10.082,13.118
1738161000.000,27.211,14.494
1738161900.000,18.899,14.470
1738162800.000,23.843,19.848
1738163700.000,12.988,30.613
1738164600.000,12.021,0.000
1738165500.000,19.988,12.260
1738166400.000,27.947,9.187
1738167300.000,12.980,33.843
1738168200.000,14.982,0.254
1738169100.000,29.810,13.441
1738170000.000,24.275,16.409
1738170900.000,29.049,10.958
1738171800.000,7.492,24.672
1738172700.000,35.569,21.131
1738173600.000,31.159,38.216
1738174500.000,17.257,6.871
1738175400.000,18.270,9.846
1738176300.000,34.981,17.130
1738177200.000,33.173,0.786
1738178100.000,19.147,19.071
1738179000.000,19.024,0.000
1738179900.000,31.529,20.644
1738180800.000,33.741,21.896
1738181700.000,37.567,11.525
1738182600.000,30.444,18.323
1738183500.000,29.113,14.228
1738184400.000,8.700,30.777
1738185300.000,15.347,12.797
1738186200.000,22.631,24.284
1738187100.000,15.291,5.043
1738188000.000,29.768,9.894
1738188900.000,26.299,18.043
1738189800.000,18.604,3.836
1738190700.000,22.049,15.150
1738191600.000,29.172,11.232
1738192500.000,32.340,8.522
1738193400.000,26.683,9.193
1738194300.000,13.820,4.473
1738195200.000,1.533,21.270
1738196100.000,32.672,12.416
1738197000.000,19.947,27.379
1738197900.000,19.020,0.000
1738198800.000,28.368,12.223
1738199700.000,18.139,11.892
1738200600.000,13.923,5.188
1738201500.000,16.191,8.702
1738202400.000,29.034,14.924
1738203300.000,15.748,2.623
1738204200.000,6.429,17.215
1738205100.000,24.478,12.467
1738206000.000,17.323,4.396
1738206900.000,30.170,14.298
1738207800.000,37.648,8.244
1738208700.000,21.439,5.988
1738209600.000,26.306,10.664
1738210500.000,5.775,0.000
1738211400.000,9.210,10.859
1738212300.000,26.559,19.586
1738213200.000,0.000,1.437
1738214100.000,15.315,7.755
1738215000.000,40.042,7.636
1738215900.000,12.118,0.506
1738216800.000,15.287,23.338
1738217700.000,8.673,16.989
1738218600.000,18.553,5.660
1738219500.000,22.987,13.508
1738220400.000,20.496,0.000
1738221300.000,14.097,4.268
1738222200.000,30.264,20.309
1738223100.000,35.413,3.594
1738224000.000,26.845,37.345
1738224900.000,7.877,18.896
1738225800.000,26.973,25.853
1738226700.000,18.161,3.308
1738227600.000,0.000,11.648
1738228500.000,28.560,2.483
1738229400.000,28.491,7.455
1738230300.000,19.054,13.081
1738231200.000,25.549,20.810
1738232100.000,0.809,18.374
1738233000.000,26.947,1.637
1738233900.000,42.166,24.392
1738234800.000,5.604,17.847
1738235700.000,8.860,23.145
1738236600.000,30.980,0.000
1738237500.000,34.066,20.798
1738238400.000,12.407,11.219
1738239300.000,9.144,1.602
1738240200.000,17.805,10.551
1738241100.000,4.378,5.928
1738242000.000,28.986,14.836
1738242900.000,17.375,8.474
1738243800.000,16.401,0.000
1738244700.000,14.160,22.505
1738245600.000,23.935,19.825
1738246500.000,8.420,12.578
1738247400.000,23.792,0.000
1738248300.000,30.300,8.591
1738249200.000,2.450,16.453
1738250100.000,23.125,7.831
1738251000.000,14.357,0.000
1738251900.000,0.688,18.135
1738252800.000,33.763,21.436
1738253700.000,4.060,30.407
1738254600.000,3.900,13.230
1738255500.000,19.120,12.739
1738256400.000,19.961,8.831
1738257300.000,12.786,23.242
1738258200.000,21.180,0.000
1738259100.000,21.782,27.589
1738260000.000,13.422,12.157
1738260900.000,9.836,15.014
1738261800.000,23.398,13.886
1738262700.000,27.379,12.876
1738263600.000,9.190,13.295
1738264500.000,6.508,10.600
1738265400.000,27.667,24.978
1738266300.000,11.615,15.662
1738267200.000,17.358,8.359
1738268100.000,26.537,13.571
1738269000.000,16.706,11.741
1738269900.000,24.894,6.388
1738270800.000,32.072,15.950
1738271700.000,16.514,4.663
1738272600.000,14.754,9.953
1738273500.000,17.747,17.097
1738274400.000,20.570,11.692
1738275300.000,18.203,19.190
1738276200.000,15.117,17.342
1738277100.000,21.211,14.335
1738278000.000,25.618,4.293
1738278900.000,25.646,3.968
1738279800.000,33.589,20.271
1738280700.000,27.011,31.925
1738281600.000,7.109,8.358
1738282500.000,4.377,16.831
1738283400.000,14.843,0.000
1738284300.000,28.357,3.336
1738285200.000,26.320,0.000
1738286100.000,4.883,0.000
1738287000.000,13.757,24.339
1738287900.000,24.622,0.000
1738288800.000,31.247,20.519
1738289700.000,25.939,5.388
1738290600.000,15.600,9.259
1738291500.000,23.714,6.750
1738292400.000,22.494,3.546
1738293300.000,17.695,4.036
1738294200.000,17.869,5.480
1738295100.000,0.000,31.294
1738296000.000,33.874,24.214
1738296900.000,6.607,12.511
1738297800.000,32.439,5.978
1738298700.000,18.752,4.223
1738299600.000,20.847,14.097
1738300500.000,20.122,5.405
1738301400.000,42.002,0.000
1738302300.000,13.005,19.219
1738303200.000,21.767,1.584
1738304100.000,26.713,8.331
1738305000.000,11.329,17.707
1738305900.000,12.701,18.631
1738306800.000,37.211,14.063
1738307700.000,16.654,10.178
1738308600.000,2.836,3.334
1738309500.000,16.464,0.000
1738310400.000,0.000,13.127
1738311300.000,8.760,33.666
1738312200.000,28.225,4.001
1738313100.000,16.853,0.000
1738314000.000,20.564,18.129
1738314900.000,16.815,7.225
1738315800.000,17.845,2.527
1738316700.000,4.802,13.764
1738317600.000,1.891,0.000
1738318500.000,23.428,12.136
1738319400.000,35.336,14.146
1738320300.000,34.697,0.000
1738321200.000,14.194,9.791
1738322100.000,25.507,0.000
1738323000.000,27.309,12.616
1738323900.000,0.000,0.000
1738324800.000,11.269,2.138
1738325700.000,23.157,3.289
1738326600.000,16.518,8.956
1738327500.000,9.933,0.000
1738328400.000,17.215,8.516
1738329300.000,0.000,0.074
1738330200.000,24.895,16.875
1738331100.000,8.096,11.768
1738332000.000,16.708,17.112
1738332900.000,25.234,24.551
1738333800.000,40.746,0.000
1738334700.000,24.372,24.389
1738335600.000,15.422,17.050
1738336500.000,22.023,0.000
1738337400.000,10.992,16.410
1738338300.000,34.001,16.210
1738339200.000,32.159,24.110
1738340100.000,22.710,5.251
1738341000.000,14.361,0.000
1738341900.000,22.664,10.649
1738342800.000,11.169,4.667
1738343700.000,11.707,16.978
1738344600.000,7.611,8.427
1738345500.000,35.804,1.822
1738346400.000,13.650,0.000
1738347300.000,27.691,0.000
1738348200.000,31.520,36.466
1738349100.000,26.730,7.715
1738350000.000,26.878,7.149
1738350900.000,17.549,16.437
1738351800.000,15.725,3.848
1738352700.000,19.169,14.812
1738353600.000,38.188,10.622
1738354500.000,20.007,0.000
1738355400.000,21.528,26.023
1738356300.000,31.878,1.735
1738357200.000,13.022,16.699
1738358100.000,9.540,12.629
1738359000.000,9.470,15.459
1738359900.000,10.925,16.778
1738360800.000,18.000,15.861
1738361700.000,28.580,6.681
1738362600.000,28.873,7.527
1738363500.000,26.878,0.000
1738364400.000,10.216,5.483
1738365300.000,26.947,11.301
1738366200.000,12.246,16.725
1738367100.000,23.672,0.001
1738368000.000,19.892,8.519
1738368900.000,34.672,12.646
1738369800.000,26.498,4.575
1738370700.000,20.428,9.222
1738371600.000,22.221,6.475
1738372500.000,20.763,15.821
1738373400.000,38.782,11.207
1738374300.000,17.008,0.000
1738375200.000,20.769,12.346
1738376100.000,38.706,5.092
1738377000.000,8.323,0.000
1738377900.000,18.204,21.629
1738378800.000,15.068,3.658
1738379700.000,20.040,0.000
1738380600.000,0.000,14.924
1738381500.000,7.024,0.000
1738382400.000,19.412,3.211
1738383300.000,32.476,0.000
1738384200.000,19.791,2.657
1738385100.000,25.976,0.000
1738386000.000,18.575,15.909
1738386900.000,11.952,12.755
1738387800.000,33.553,14.719
1738388700.000,20.241,4.699
1738389600.000,13.446,22.385
1738390500.000,2.340,2.236
1738391400.000,24.610,0.000
1738392300.000,10.050,22.804
1738393200.000,15.599,8.861
1738394100.000,37.949,13.770
1738395000.000,23.516,7.789
1738395900.000,16.548,7.407
1738396800.000,25.604,5.352
1738397700.000,16.322,7.963
1738398600.000,25.711,6.531
1738399500.000,19.751,0.000
1738400400.000,8.676,10.412
1738401300.000,4.378,9.183
1738402200.000,28.263,11.520
1738403100.000,17.930,14.051
1738404000.000,26.932,12.440
1738404900.000,16.941,20.080
1738405800.000,18.438,0.064
1738406700.000,35.438,0.000
1738407600.000,30.672,16.672
1738408500.000,20.429,11.400
1738409400.000,19.180,3.839
1738410300.000,25.501,0.000
1738411200.000,11.409,12.830
1738412100.000,19.537,24.878
1738413000.000,31.370,8.701
1738413900.000,19.429,7.571
1738414800.000,33.747,10.197
1738415700.000,23.287,8.604
1738416600.000,17.480,6.545
1738417500.000,6.065,4.454
1738418400.000,19.297,5.631
1738419300.000,20.202,19.243
1738420200.000,22.363,35.436
1738421100.000,26.371,3.091
1738422000.000,37.379,12.742
1738422900.000,23.037,19.393
1738423800.000,12.425,25.912
1738424700.000,14.294,9.360
1738425600.000,11.857,1.619
1738426500.000,17.242,14.004
1738427400.000,9.299,24.099
1738428300.000,28.452,10.973
1738429200.000,19.412,0.000
1738430100.000,40.096,13.243
1738431000.000,11.326,10.567
1738431900.000,11.352,5.378
1738432800.000,12.672,20.615
1738433700.000,20.607,16.108
1738434600.000,20.528,10.371
1738435500.000,15.479,9.151
1738436400.000,9.605,5.469
1738437300.000,20.665,16.979
1738438200.000,17.853,26.881
1738439100.000,29.825,7.809
1738440000.000,17.630,24.444
1738440900.000,35.920,0.000
1738441800.000,29.040,16.717
1738442700.000,29.345,0.000
1738443600.000,0.203,3.896
1738444500.000,19.513,10.128
1738445400.000,13.312,12.111
1738446300.000,14.380,29.640
1738447200.000,10.178,27.379
1738448100.000,23.462,2.929
1738449000.000,12.028,17.458
1738449900.000,28.109,27.047
1738450800.000,17.482,3.708
1738451700.000,26.247,3.350
1738452600.000,18.660,8.789
1738453500.000,12.685,0.000
1738454400.000,0.000,27.787
1738455300.000,24.976,29.829
1738456200.000,26.902,13.508
1738457100.000,21.614,14.783
1738458000.000,13.576,0.000
1738458900.000,9.346,22.643
1738459800.000,25.323,4.094
1738460700.000,27.387,24.681
1738461600.000,22.045,10.468
1738462500.000,15.127,19.824
1738463400.000,34.566,7.574
1738464300.000,17.767,1.603
1738465200.000,31.015,21.819
1738466100.000,15.956,2.037
1738467000.000,26.462,3.104
1738467900.000,14.785,6.232
1738468800.000,19.850,21.730
1738469700.000,29.585,11.188
1738470600.000,13.249,0.000
1738471500.000,34.905,27.053
1738472400.000,21.393,16.780
1738473300.000,19.419,13.476
1738474200.000,21.282,1.446
1738475100.000,12.493,19.739
1738476000.000,26.650,9.108
1738476900.000,10.680,0.000
1738477800.000,24.552,22.354
1738478700.000,7.957,30.061
1738479600.000,28.592,0.000
1738480500.000,21.741,17.074
1738481400.000,16.239,10.158
1738482300.000,5.742,25.398
1738483200.000,36.559,10.622
1738484100.000,20.551,10.613
1738485000.000,16.745,0.503
1738485900.000,22.901,14.226
1738486800.000,21.638,1.363
1738487700.000,4.672,24.683
1738488600.000,21.744,28.185
1738489500.000,24.283,4.426
1738490400.000,16.157,37.711
1738491300.000,23.333,7.033
1738492200.000,19.439,12.826
1738493100.000,2.483,15.038
1738494000.000,18.884,2.557
1738494900.000,12.234,5.742
1738495800.000,41.153,9.591
1738496700.000,6.432,11.068
1738497600.000,26.232,2.487
1738498500.000,40.573,16.022
1738499400.000,31.052,12.793
1738500300.000,28.631,8.490
1738501200.000,7.881,24.888
1738502100.000,18.388,0.000
1738503000.000,41.998,19.526
1738503900.000,15.412,0.000
1738504800.000,27.851,12.664
1738505700.000,35.578,0.000
1738506600.000,14.300,6.353
1738507500.000,21.672,0.000
1738508400.000,21.806,8.998
1738509300.000,23.606,4.906
1738510200.000,29.572,0.000
1738511100.000,16.254,24.320
1738512000.000,22.867,5.547
1738512900.000,21.105,27.021
1738513800.000,28.872,0.000
1738514700.000,15.791,7.296
1738515600.000,11.329,2.573
1738516500.000,22.826,5.190
1738517400.000,20.566,5.323
1738518300.000,18.018,0.000
1738519200.000,28.972,0.000
1738520100.000,15.772,7.423
1738521000.000,24.462,8.887
1738521900.000,12.751,13.325
1738522800.000,18.614,4.635
1738523700.000,15.739,0.000
1738524600.000,13.476,0.000
1738525500.000,7.860,10.618
1738526400.000,19.620,0.000
1738527300.000,21.636,14.982
1738528200.000,28.856,12.466
1738529100.000,18.886,15.185
1738530000.000,17.739,16.995
1738530900.000,10.519,14.953
1738531800.000,11.367,17.628
1738532700.000,18.418,19.689
1738533600.000,14.186,1.297
1738534500.000,0.537,10.608
1738535400.000,21.369,11.305
1738536300.000,18.064,8.127
